UNIV_ID,BRANCH,UNIV_NAME,City,Address,State,ZIP,Sector_id
154518001,Main Campus-Waldorf University,Waldorf University,FOREST CITY,106 S. SIXTH ST,IA,50436,3
154527001,Main Campus,Wartburg College,WAVERLY,100 Wartburg Blvd.,IA,506770903,2
154536001,Wartburg Theological Seminary,Wartburg Theological Seminary,DUBUQUE,333 WARTBURG PLACE,IA,52003,2
154545001,Main Campus,The Salon Professional Academy,Cedar Falls,1350 College Square Mall,IA,506134734,6
154572001,Sioux City Campus,Western Iowa Tech Community College,SIOUX CITY,4647 STONE AVE,IA,511025199,4
154572002,Cherokee,Western Iowa Tech Community College,CHEROKEE,200 VICTORY DRIVE,IA,51012,4
154572003,Denison Campus,Western Iowa Tech Community College,DENISON,11  NORTH 35TH STREET,IA,514427564,4
154572006,Beltway Center,Western Iowa Tech Community College,Sioux City,3415 Highway 75 North,IA,51105,4
154590001,William Penn University,William Penn University,Oskaloosa,201 Trueblood Avenue,IA,52577,2
154642001,Main Campus,Allen County Community College,IOLA,1801 N COTTONWOOD,KS,66749,4
154642002,Allen County Community Collge - Burlingame Campus,Allen County Community College,Burlingame,100 Bloomquist,KS,66413,4
154688001,Main Campus,Baker University,BALDWIN CITY,618 EIGHTH STREET,KS,660060065,2
154688003,School of Nursing,Baker University,Topeka,1500 SW 10th Street,KS,66604,2
154688004,School of Professional and Graduate Studies-Overland Park,Baker University,Overland Park,8001 College Blvd. Suite 100,KS,66210,2
154688007,School of Professional and Graduate Studies - Wichita,Baker University,Wichita,3450 N. Rock Road - Bldg. 400,KS,67226,2
154697001,Barton County Community College,Barton County Community College,Great Bend,245 NE 30th Road,KS,67530,4
154697002,Barton Fort Riley Campus,Barton County Community College,Fort Riley,Building 211,KS,66442,4
154697003,Fort Leavenworth,Barton County Community College,Fort Leavenworth,120 Dickman Ave,KS,66027,4
154697004,Grandview Plaza,Barton County Community College,Grandview Plaza,100 Continental,KS,66441,4
154697005,1025 Main,Barton County Community College,Great Bend,1025 Main,KS,67530,4
154712001,Benedictine College Main Campus,Benedictine College,ATCHISON,1020 N 2ND ST,KS,660021499,2
154721001,Main Campus,Bethany College,LINDSBORG,335 E Swensson,KS,67456,2
154749001,Bethel College,Bethel College-North Newton,NORTH NEWTON,300 E 27TH,KS,671170531,2
154800001,Butler Community College,Butler Community College,EL DORADO,901 S HAVERHILL RD,KS,670423280,4
154855001,Main Campus,Central Christian College of Kansas,MCPHERSON,1200 S MAIN,KS,674605740,2
154907001,Concordia Campus,Cloud County Community College,Concordia,"2221 Campus Drive, Box 1002",KS,669011002,4
154925001,Main Campus,Coffeyville Community College,COFFEYVILLE,400 W 11TH ST,KS,673375064,4
154925002,Coffeyville Community College Technical Campus,Coffeyville Community College,COFFEYVILLE,6TH & ROOSEVELT,KS,67337,4
154925003,Columbus Technical Campus,Coffeyville Community College,Columbus,509 W. Elm,KS,66725,4
154934001,Main Campus,Colby Community College,COLBY,1255 S RANGE,KS,67701,4
154952001,Main Campus,Cowley County Community College,ARKANSAS CITY,125 S SECOND ST,KS,67005,4
154998001,Dodge City Community College,Dodge City Community College,DODGE CITY,2501 N 14TH AVE,KS,678012399,4
155007001,Donnelly College,Donnelly College,KANSAS CITY,608 N 18TH ST,KS,66102,2
155025001,Emporia State University,Emporia State University,EMPORIA,1 Kellog Circle,KS,668015087,1
155052001,Main Campus,Flint Hills Technical College,EMPORIA,3301 W 18TH Avenue,KS,66801,4
155061001,Main Campus,Fort Hays State University,HAYS,600 PARK ST,KS,676014099,1
155070001,Barclay College Main Campus,Barclay College,HAVILAND,607 N KINGMAN,KS,67059,2
155089001,Main Campus,Friends University,WICHITA,2100 W. UNIVERSITY  AVE.,KS,67213,2
155089005,Friends University - Overland Park,Friends University,Overland Park,6300 Glennwood St. Suite100,KS,66202,2
155098001,Fort Scott Community College Fort Scott Campus,Fort Scott Community College,FORT SCOTT,2108 S HORTON,KS,66701,4
155104001,Main Campus,Garden City Community College,GARDEN CITY,801 CAMPUS DRIVE,KS,67846,4
155140001,Main campus,Haskell Indian Nations University,LAWRENCE,155 INDIAN AVE,KS,660464800,1
155159001,Hays Academy of Hair Design,Hays Academy of Hair Design,HAYS,1214 East 27th Street,KS,67601,9
155159002,Salina,Hays Academy of Hair Design,Salina,115 South 5th St,KS,67401,9
155177001,Main Campus,Hesston College,HESSTON,301 South Main,KS,670622093,2
155186001,Highland Community College - Main Campus,Highland Community College,HIGHLAND,606 W MAIN,KS,660354165,4
155195001,Main Campus,Hutchinson Community College,Hutchinson,1300 N. Plum St.,KS,67501,4
155201001,Independence Community College,Independence Community College,INDEPENDENCE,1057 West College,KS,673010708,4
155210001,Main Campus,Johnson County Community College,OVERLAND PARK,12345 COLLEGE BLVD,KS,662101299,4
155210002,Olathe Health Education Center,Johnson County Community College,Olathe,21201 W. 152nd Street,KS,66061,4
155210003,West Park Center,Johnson County Community College,Overland Park,9780 W. 87th Street,KS,66212,4
155210004,Overland Park Fire Training Center,Johnson County Community College,Overland Park,12401 Hemlock,KS,66213,4
155210005,Antioch Library,Johnson County Community College,Merriam,8700 Shawnee Mission Parkway,KS,66202,4
155210006,Dwayne Peaslee Technical Training center,Johnson County Community College,Lawrence,2920 Haskell Ave #100,KS,66046,4
155283001,Concorde Career College-Kansas City,Concorde Career College-Kansas City,KANSAS CITY,3239 BROADWAY,MO,64111,3
155292001,KCKCC CAMPUS,Kansas City Kansas Community College,KANSAS CITY,7250 STATE AVE,KS,66112,4
155292002,LEAVENWORTH CAMPUS,Kansas City Kansas Community College,LEAVENWORTH,1901 Spruce,KS,66048,4
155292004,KCKCC Technical Education Center,Kansas City Kansas Community College,Kansas City,2220 N59th st,KS,66104,4
155292005,Auto Tech Campus,Kansas City Kansas Community College,Kansas City,6736 State Ave,KS,66102,4
155308001,Main Campus,Kansas Christian College,Overland Park,7401 Metcalf,KS,662041975,2
155317001,Main Campus (Lawrence),University of Kansas,LAWRENCE,1450 Jayhawk Boulevard,KS,66045,1
155317002,Edwards Campus (Overland Park),University of Kansas,Overland Park,12600 Quivira Road,KS,66213,1
155317003,Medical Center (Kansas City),University of Kansas,Kansas City,3901 Rainbow Blvd,KS,66160,1
155317004,Medical Center (Wichita),University of Kansas,Wichita,1010 North Kansas,KS,67214,1
155317005,Medical Center (Salina),University of Kansas,Salina,400 S Santa Fe Ave,KS,67401,1
155335001,Newman University,Newman University,WICHITA,3100 MCCORMICK AVE,KS,672132097,2
155353001,Main Campus,Old Town Barber College-Wichita,WICHITA,1211 E DOUGLAS,KS,672111605,9
155399001,Main Campus,Kansas State University,MANHATTAN,110 ANDERSON HALL,KS,665061303,1
155399002,Kansas State University Polytechnic,Kansas State University,Salina,"2310 Centennial Road, 112 College Center",KS,67401,1
155399003,Kansas State University Olathe,Kansas State University,Olathe,22201 W Innovation Dr,KS,66061,1
155414001,Main Campus,Kansas Wesleyan University,SALINA,100 E CLAFLIN AVENUE,KS,674016196,2
155423001,Washburn Institute of Technology,Washburn Institute of Technology,TOPEKA,5724 HUNTOON,KS,66604,7
155450001,Labette Community College,Labette Community College,PARSONS,200 S 14TH,KS,676574201,4
155450002,Cherokee Center,Labette Community College,Parsons,200 South 14th Street,KS,67357,4
155487001,MANHATTAN AREA TECHNICAL COLLEGE,Manhattan Area Technical College,MANHATTAN,3136 DICKENS AVE,KS,665032499,4
155496001,Main Campus,Manhattan Christian College,MANHATTAN,1415 ANDERSON AVE,KS,665024801,2
155511001,McPherson College Main Campus,McPherson College,MCPHERSON,1600 E EUCLID,KS,674601402,2
155520001,Main Campus,MidAmerica Nazarene University,OLATHE,2030 E. COLLEGE WAY,KS,660621899,2
155566001,Main Campus,Neosho County Community College,CHANUTE,800 W 14TH ST,KS,66720,4
155566002,Ottawa Campus,Neosho County Community College,Ottawa,900 East Logan Street,KS,66067,4
155593001,Main Campus,North Central Kansas Technical College,BELOIT,3033 US HWY 24,KS,674200507,4
155593002,Hays Campus,North Central Kansas Technical College,Hays,2205 Wheatland Ave.,KS,67601,4
155618001,Northwest Kansas Technical College,Northwest Kansas Technical College,GOODLAND,1209 HARRISON ST,KS,67735,4
155627001,"Ottawa, KS Campus",Ottawa University-Ottawa,Ottawa,1001 South Cedar Street,KS,660673399,2
155636001,Kansas City Campus,Ottawa University-Kansas City,OVERLAND PARK,"4370 West 109th Street, Suite 200",KS,66211,2
155681001,Pittsburg State University,Pittsburg State University,PITTSBURG,1701 S BROADWAY,KS,66762,1
155715001,Main Campus,Pratt Community College,PRATT,348 NE SR 61,KS,67124,4
155715002,Elearning Center,Pratt Community College,Wichita,7920 W Kellogg,KS,672090000,4
155715003,Winfield,Pratt Community College,Winfield,1406 E 8th,KS,671560000,4
155812001,University of Saint Mary,University of Saint Mary,LEAVENWORTH,4100 S 4TH ST TRAFFICWAY,KS,660485082,2
155812002,Overland Park Campus,University of Saint Mary,Overland Park,4500 College Boulevard,KS,66215,2
155830001,Main Campus,Salina Area Technical College,Salina,2562 Centennial Road,KS,67401,4
155858001,Seward County Community College,Seward County Community College,Liberal,1801 N. Kansas Ave.,KS,679051137,4
155900001,Main Campus,Southwestern College,WINFIELD,100 COLLEGE ST,KS,671566224,2
155900002,Wichita Center - East,Southwestern College,Wichita,2040 South Rock Road,KS,67202,2
155900006,Professional Studies Center McConnell Air Force Base,Southwestern College,McConnell AFB,22 MSS/DPE  53474 Lawrence Court,KS,672214000,2
155900008,Professional Studies Center Fort Riley,Southwestern College,Fort Riley,Building 217 Custer Avenue,KS,66442,2
